"Move forward by a meter, then turn left.",[("MOVE",1.00), ("LEFT",1.57)]
"Move forward by a meter, then rotate counterclockwise.",[("MOVE",1.00), ("LEFT",1.57)]
"Move forward by a meter, then face your left.",[("MOVE",1.00), ("LEFT",1.57)]
"Proceed ahead for a meter, followed by a left turn.",[("MOVE",1.00), ("LEFT",1.57)]
Advance one meter forward before making a left turn.,[("MOVE",1.00), ("LEFT",1.57)]
"Travel a meter forward, then pivot to the left.",[("MOVE",1.00), ("LEFT",1.57)]
Go forward a meter and then veer left.,[("MOVE",1.00), ("LEFT",1.57)]
"Progress forward by a meter, then execute a left turn.",[("MOVE",1.00), ("LEFT",1.57)]
"Take a step forward covering a meter, then turn left.",[("MOVE",1.00), ("LEFT",1.57)]
"Move ahead a meter, followed by a leftward pivot.",[("MOVE",1.00), ("LEFT",1.57)]
"Proceed forward for a meter, then make a leftward turn.",[("MOVE",1.00), ("LEFT",1.57)]
"Make a forward movement of a meter, then shift to the left.",[("MOVE",1.00), ("LEFT",1.57)]
"Inch forward by a meter, then rotate leftward.",[("MOVE",1.00), ("LEFT",1.57)]
"Advance one meter, then make a left turn of 90 degrees.",[("MOVE",1.00), ("LEFT",1.57)]
"Move ahead by one meter, then rotate to the left by 90 degrees.",[("MOVE",1.00), ("LEFT",1.57)]
"Proceed forward for one meter, then turn to the left at a 90-degree angle.",[("MOVE",1.00), ("LEFT",1.57)]
"Go forward one meter, then make a leftward turn of 90 degrees.",[("MOVE",1.00), ("LEFT",1.57)]
"Progress one meter forward, then rotate to the left by 90 degrees.",[("MOVE",1.00), ("LEFT",1.57)]
"Travel one meter forward, then pivot to the left by 90 degrees.",[("MOVE",1.00), ("LEFT",1.57)]
"Step forward by one meter, then make a left turn with a 90-degree angle.",[("MOVE",1.00), ("LEFT",1.57)]
"Walk one meter forward, then turn to the left by 90 degrees.",[("MOVE",1.00), ("LEFT",1.57)]
"Move forward by a meter, then turn right.",[("MOVE",1.00), ("RGHT",1.57)]
"Move forward by a meter, then rotate clockwise.",[("MOVE",1.00), ("RGHT",1.57)]
"Move forward by a meter, then face your right.",[("MOVE",1.00), ("RGHT",1.57)]
"Proceed ahead for a meter, then make a right turn.",[("MOVE",1.00), ("RGHT",1.57)]
"Advance by a meter in the forward direction, then pivot to the right.",[("MOVE",1.00), ("RGHT",1.57)]
"Travel a distance of a meter forward, then make a rightward turn.",[("MOVE",1.00), ("RGHT",1.57)]
"Go forward for a meter, then execute a right turn.",[("MOVE",1.00), ("RGHT",1.57)]
"Progress forward by a meter, then turn towards the right.",[("MOVE",1.00), ("RGHT",1.57)]
"Take a step forward covering a meter, then make a turn to the right.",[("MOVE",1.00), ("RGHT",1.57)]
"Move ahead a meter, then veer to the right.",[("MOVE",1.00), ("RGHT",1.57)]
"Proceed forward for a meter, then rotate to the right.",[("MOVE",1.00), ("RGHT",1.57)]
"Make a forward movement of a meter, then change direction to the right.",[("MOVE",1.00), ("RGHT",1.57)]
"Inch forward by a meter, then turn rightward.",[("MOVE",1.00), ("RGHT",1.57)]
"Proceed forward by one meter, then make a 90-degree right turn.",[("MOVE",1.00), ("RGHT",1.57)]
"Advance one meter, and then rotate 90 degrees to the right.",[("MOVE",1.00), ("RGHT",1.57)]
"Move ahead one meter, then turn to the right by 90 degrees.",[("MOVE",1.00), ("RGHT",1.57)]
"Travel one meter forward, and then make a 90-degree turn to the right.",[("MOVE",1.00), ("RGHT",1.57)]
"Progress by one meter, then rotate to the right by 90 degrees.",[("MOVE",1.00), ("RGHT",1.57)]
"Go forward one meter, and then make a 90-degree rightward turn.",[("MOVE",1.00), ("RGHT",1.57)]
"Step ahead by one meter, then turn 90 degrees clockwise.",[("MOVE",1.00), ("RGHT",1.57)]
"Move forward by one meter, and then rotate to the right by 90 degrees.",[("MOVE",1.00), ("RGHT",1.57)]
"Move forward by 2 meters, then turn left.",[("MOVE",2.00), ("LEFT",1.57)]
"Move forward by 2 meters, then rotate counterclockwise.",[("MOVE",2.00), ("LEFT",1.57)]
"Move forward by 2 meters, then face your left.",[("MOVE",2.00), ("LEFT",1.57)]
Proceed ahead for 2 meters and then make a left turn.,[("MOVE",2.00), ("LEFT",1.57)]
Advance by 2 meters in the forward direction followed by a left turn.,[("MOVE",2.00), ("LEFT",1.57)]
"Travel forward for 2 meters, then execute a leftward turn.",[("MOVE",2.00), ("LEFT",1.57)]
"Go forward a distance of 2 meters, then shift left.",[("MOVE",2.00), ("LEFT",1.57)]
"Progress forward by 2 meters, then pivot to the left.",[("MOVE",2.00), ("LEFT",1.57)]
"Take a step forward covering 2 meters, then rotate left.",[("MOVE",2.00), ("LEFT",1.57)]
"Move ahead 2 meters, then turn towards the left.",[("MOVE",2.00), ("LEFT",1.57)]
"Proceed forward for 2 meters, then face to the left.",[("MOVE",2.00), ("LEFT",1.57)]
"Make a forward movement of 2 meters, then make a leftward turn.",[("MOVE",2.00), ("LEFT",1.57)]
"Inch forward by 2 meters, then change direction to the left.",[("MOVE",2.00), ("LEFT",1.57)]
"Advance by two meters, then make a left turn of 90 degrees.",[("MOVE",2.00), ("LEFT",1.57)]
"Proceed forward for two meters, then rotate to the left by 90 degrees.",[("MOVE",2.00), ("LEFT",1.57)]
"Move ahead by two meters, then pivot 90 degrees to the left.",[("MOVE",2.00), ("LEFT",1.57)]
"Go forward two meters, then turn to the left by 90 degrees.",[("MOVE",2.00), ("LEFT",1.57)]
"Progress two meters forward, then make a leftward rotation of 90 degrees.",[("MOVE",2.00), ("LEFT",1.57)]
"Travel two meters forward, then rotate counterclockwise by 90 degrees.",[("MOVE",2.00), ("LEFT",1.57)]
"Step forward by two meters, then turn to the left side at a 90-degree angle.",[("MOVE",2.00), ("LEFT",1.57)]
"Walk two meters forward, then make a left turn, angling 90 degrees.",[("MOVE",2.00), ("LEFT",1.57)]
"Move forward by 2 meters, then turn right.",[("MOVE",2.00), ("RGHT",1.57)]
"Move forward by 2 meters, then rotate clockwise.",[("MOVE",2.00), ("RGHT",1.57)]
"Move forward by 2 meters, then face your right.",[("MOVE",2.00), ("RGHT",1.57)]
"Proceed ahead for a distance of 2 meters, then make a right turn.",[("MOVE",2.00), ("RGHT",1.57)]
"Advance by 2 meters in the forward direction, followed by turning right.",[("MOVE",2.00), ("RGHT",1.57)]
"Travel a distance of 2 meters forward, then execute a right turn.",[("MOVE",2.00), ("RGHT",1.57)]
